lob_id,gvkey,bvdid,naics,client_name
00552688-3e27-583a-9608-85319060002e,,,,FASHION PIRACY INFORMAL COALITION
00556832-9de8-50f7-8bd1-3c7978e19338,,,,GULF STREAM DEVELOPMENT GROUP
00560f7c-9836-59f6-b623-28b269ae5cb5,,,,EMBRACE FAMILIES
00561c67-7970-56bf-a481-e3391f14f133,,,,RADIATE GROUP
0057ef85-4494-56ac-a94f-8175b214c241,,,,VALUEOPTIONS
005803ea-55a2-5195-893f-5b143f7dac4a,,,,"TESSENDERLO KERLEY, INC."
005850bf-cc39-5b26-b50a-7fda2b827d6f,,,,LVTI LLC
005b8f95-cee9-5320-b8a9-6fc95ee1e85e,,,,CITY OF HEALDSBURG
005bbff9-7831-5f13-8626-2dfc3bcba08a,,,,SIMS STRATEGIES (ON BEHALF OF CREIGHTON UNIVERSITY)
005e0119-f807-50ef-a5e0-9f0c0416af8f,,,,INTRAMOTEV
005e2753-7f90-55e3-b306-c5d8d1da0350,,,,I2 TELECOM
005e3659-1ff4-51cc-87d6-8fec4e112856,,,,BERTHEL FISHER & COMPANY
00610c50-ad63-560a-9c3b-6299e5a5f3e7,,,,ENTERTAINMENT STUDIOS NETWORKS INC
00616cf4-4d14-50b7-b021-1a51f22e1737,,,,FIDELIS
00621aae-fe3c-58df-ac93-fbaf00339cec,,,,"TURNER ENTERPRISES, INC."
00628b85-a650-51a4-9247-60cf54f1f2e9,,,,SEXTONS CREEK (ON BEHALF OF NUO THERAPEUTICS INC.)
0064bc5d-748e-53db-af64-045d5cf1f46a,,,,VIDIUS
00679e54-fd35-5017-8f11-616160deac40,,,,LOS ALAMITOS UNIFIED SCHOOL DISTRICT
0068b378-1a02-535a-b115-c3185990a273,,,,BROTHER INTERNATIONAL CORPORATION
006e6d9a-51e4-5f60-a6ef-adcf440f616e,,,,DART ENERGY CO
0072bec4-984a-57a0-86bc-3b0d5e43f765,,,,"FLUXERGY, LLC"
00744d68-d42b-5f2f-891e-25274577fb97,,,,CHRISTIAN MUSIC TRADE ASSOCIATION
0074564d-fcdc-5e2b-b5a8-b17463fb4cc4,,,,ROCK & ASSOCIATES
00751cc4-c593-5184-98c6-8e83c191529a,,,,1-800-FLOWERS.COM
0075d7f7-df66-50f5-99ea-3e399a716d08,,,,MEADVILLE MEDICAL CENTER
00760187-ccda-5615-8f26-be04ff1c9b50,,,,VIATEL INC
0079e1fe-2998-5a85-9cf8-a8de28f4d316,,,,HUNTER TECHNOLOGY CORPORATION
007b0b95-4d26-5258-a760-0b5993875cb8,,,,HOLLY POULTRY INC.
007b9793-ac65-536c-8372-85d6c1e40a7e,,,,CERFE LABS
007cb03e-174f-5768-932b-d918313e71a7,,,,TOWN DOCK
007d95a8-68a8-5088-9b8b-9484a419446d,,,,ROWLEY COMPANY
007f0051-06c7-501c-add3-db4191cbd314,,,,COASTAL CORP
007fbe8f-eb01-5541-afda-176bba66abd1,,,,DAUBER COMPANY INC
00805faa-dfab-504f-9f97-6666d8bec67d,,,,"BLACKBOX BIOMETRICS, INC."
00811979-841f-5549-bfe8-01d29de72202,,,,METROPOLITAN OPERA
00822c0f-c885-5212-bf86-5ff4f8be12db,,,,"BROWNSBURG, INDIANA"
00826c01-f9a0-5e9d-aab7-0a0b757608dd,,,,YORK COLLEGE OF PENNSYLVANIA
0083a0d3-580d-596d-8ca8-8ed6bb6045ad,,,,THE GOLDENBERG GROUP
0084c99c-7f81-5fff-937a-d72877266a86,,,,"CONXTECH, INC."
0086f6b8-2b9e-58af-8042-91e63c805247,,,,"CITY OF LIGHTHOUSE POINT, FL"
0088e847-5e5d-593f-8245-aca42c5c1698,,,,"YC CONSULTING, LLC ON BEHALF OF EAGLE EYE X, INC."
008992b2-083c-561b-b8d6-8c9ecdaf939d,,,,PRESBYTERIAN FOUNDATION/NEW COURTLAND
00899b55-b5b2-5de5-a02e-d11998391a8e,264418,,522110,MIDLAND FINANCIAL CO.
0089d4ae-bcb4-561e-a154-8b04397f5dcd,,,,PROCURENET INC
008a53b2-d7ab-5cd4-8c18-4451899a98e6,,,,DELTA MANAGEMENT ASSOCIATION
008c13d0-e114-57ae-8430-69e7d6c93ac7,,,,LIMBER TECHNOLOGY INC
008f68aa-3ea9-5ae3-8f87-86dbae1f6d37,007938,US341505819,212114,NAACO INDUSTRIES
008f92b5-5205-51b9-9308-37941401abeb,,,,BF SAUL COMPANY
008ff8cd-b46e-5170-95ed-2f2238abe138,,,,DC4 COALITION
0090ab0e-868e-5772-9725-7c37bad12dc2,,,,STRANAHAN HOUSE
0091e06f-676d-5e1b-815d-7bfc1c89bda5,,,,FITCH RATINGS
0092d6d2-2490-5fd0-bfdd-9fc56e780e70,,,,WINGS OVER THE ROCKIES
0095ec49-7dd0-5f3f-9cd4-358ff6d8bc38,,,,CARGO LIFTER INC
00969fdd-a0fd-54ae-96d6-3ad304031f76,,,,PENNZOIL-QUAKER STATE CO
009aaee0-58f6-5dd7-aace-36095b9f0199,,,,AMERICAN LEPROSY MISSIONS
009bc657-d2fa-57f5-b4df-5b7a9d34ceff,,,,BIO PRODUCTS LABORATORY LTD
00a0cd42-ed47-5452-a551-b9518d2bcdcb,,,,"JBI SOFT, INC."
00a462b9-bdeb-5acb-8ed7-7231ec4cc475,,,,"JARRARD, INC ON BEHALF OF NFP ALLIANCE"
00a4cace-30ac-5d88-95d2-d06232a7ca05,,,,GARDEN STATE CANCER CENTER
00a5b51b-4bd3-5b3e-b83e-9e8cd6e2fa72,,,,THE LATINO COALITION
00a95229-677b-5df8-8230-91c5d2f3d092,,,,AMERICAN LEAGUE OF FINANCIAL INSTITUTIONS
00aa2739-fec0-5087-bcec-84a2447a5366,,,,"313, LLC"
00aa2a75-0ec8-5a74-98dc-b864bba566c9,,,,SUMMIT WATER DISTRIBUTION COMPANY
00aa3f09-46cf-504d-bbf9-b868a17f1787,,,,"ACC HOLDINGS, INC."
00ad2d4d-4670-5686-b65f-1d0eb26258fd,,,,NATL BURGLAR & FIRE ALARM ASSN
00ae0507-5863-5aa5-b1a1-37a98edba9aa,,,,"TRUHEARING, INC"
00af4238-47a0-5c47-b342-275e5179622b,,,,CIRRUS AIRCRAFT CORPORATION
00b0c994-cfe2-5f3e-be0b-52568c2b0130,,,,NORTHWEST CAPITAL CORP.
00b19248-cc23-5e38-baf5-c547f5726549,,,,LIFEMARK CORP
00b1caf6-99c9-5e34-860b-d24b97b5b288,,,,ACCESS INDUSTRIES
00b66fb3-f267-5d03-a412-9b64b40420fb,,,,NORRIS MCLAUGHLIN & MARCUS
00b765fd-f2ee-59dd-997e-5fd55ccdb7e9,,,,STRATEGIC HOLDINGS LLC
00b77fa0-1e88-591e-82e1-f8ebc4ab3f19,,,,SOUTHEASTERN LIVESTOCK NETWORK
00b8e149-001b-53ae-a4fb-4ab69119b668,,,,NATIONAL ORGANIZATION FOR COMPETENCY ASSURANCE
00b901bb-8cfc-5c4b-8433-eeb131bf6a0c,,,,FEDERAL FORMULA GRANT COALITION
00b9d6d2-0fd4-5ab4-a3ff-05c90c1f0605,007658,US135267260,332991,NL INDUSTRIES
00bb5e40-87ef-5491-9080-87053d476c13,,,,SMARTROUTE SYSTEMS
00bd0c23-09dd-51cb-b517-4d155f20dbbc,,,,"AES DRILLING FLUIDS, LLC"
00bd1f78-0f9e-5007-aa4b-70ea3c0a8595,,,,TEAMWORKS
00c0ecbe-f281-57cf-a05e-3022b6df6a99,008823,US382766606,236117,PULTEGROUP INC
00c14d40-4bc2-50f6-b1d8-46a908af5812,,,,SBQ COALITION
00c67bc2-b629-599f-86b2-7df6d9914004,,,,NATIONAL ASSOCIATION OF EMERGENCY MEDICAL TECHNICIANS
00c7625a-50ca-50b5-94d3-98b1921c63f5,,,,CHLOROGEN
00c9673f-63dd-5121-b981-8ba1e39e4726,,,,LAOTIAN AMERICAN COUNCIL
00ca6657-b067-5374-8f95-7603b8485894,,,,"HOLLOWAY ENVIRONMENTAL SERVICES, LLC"
00cbd48d-8c80-5cb4-af24-1a36cf19f376,,,,MEDICAL PRESENT VALUE
00cbde27-475b-575d-bea0-ad9ec6914344,,,,PRINCETON WOUND CARE CENTER
00d02048-6b69-50f0-88cf-b794a8a27795,,,,"FLAGLER COUNTY, FLORIDA"
00d09186-8532-5680-9766-b15d933adf2f,011228,US208579133,212319,VULCAN MATERIALS COMPANY
00d1b57a-1c9d-527e-8feb-6b3dd67035ec,,,,RANCHO SANTIAGO COMMUNITY COLLEGE DISTRICT
00d2242d-c14a-5b7d-9324-37483a70ca6b,061655,,325414,"NOVAVAX, INC."
00d26006-d226-54f9-88e2-f826c7c52bf7,,,,GEORGIA FARM SERVICES
00d3c175-034f-5dd0-b0f1-35b5716daecd,,,,PRESERVE VIEWER CHOICE COALITION
00d7d3d8-8717-5171-b362-c1e341c90635,,,,"EASTERN MEDWASTE, LLC"
00d9ef60-a050-57f4-a1fc-4b31ce0d1002,,,,CARGILL COTTON CO (FORMERLY KNOWN AS HOHENBERG BROTHERS CO)
00dadf2a-15b6-55ca-b8af-a543868dce5f,,,,GEORAL INTL OF NEW YORK
00db34dd-46f0-5cf8-ac90-4e20f41de857,,,,CARILION CLINIC
00dd4d9d-40ba-5a6f-bdcd-fcc70f4d0236,,,,FEEVA
00dd93e1-2d13-51e1-bd40-451e1e938bfd,,,,BUA USA LLC
00de4603-c7db-5873-bf26-56687e4c0a4e,,,,TEXAS RECLAMATION COALITION
00e042ab-1795-504d-9e11-f937d5a49aaf,,,,BR.MANNESMAN TECHNOLOGY
00e09ebd-abb9-5d36-844d-338530fa321e,,,,3LEAF GROUP
00e3796b-9fd5-5455-afc5-1aabb8154969,,,,CLEVELAND CONSTRUCTION
00e3f0fd-bf7c-5c84-aa65-1b48b58045e6,,,,LAFAYETTE AIRPORT COMMISSION
00e7b2f7-76de-544b-88a8-24266181a6cf,,,,DUECO INC
00ee410e-ac46-56d0-82ce-9c3f8f5d4af4,,,,GOVT OF TURKS & CAIPOS ISLAND
00ef516a-3b81-5ab0-995a-9abaf715a638,,,,ECOPIA INC
00f12d6d-8547-577d-aef3-abfc9fd0f94c,,,,VISITALKCOM
00f210dd-ac98-5cb1-b467-1c2337295360,,,,GREAT LAKES COMMUNICATION
00f5c864-fd9d-58ba-bb4f-c817dd77b675,,,,TL MANAGEMENT
00f5cec8-a57c-5385-a221-232ef0a0baf3,,,,"PAL-CON, LTD."
00f7695f-0010-59e7-89f2-bfecee568a73,,,,PROCESS GAS CONSUMERS GROUP
00fa5747-6b17-5c04-8615-3a96c35b8324,,,,AMERICAN ASSN OF PHYSICIANS OF INDIAN ORIGIN
00fbcc97-8b79-5b98-b692-df67f0478069,,,,LAC VIEUX DESERT BAND OF LAKE SUPERIOR CHIPPEWA
