Year,Actual,ARIMA_Forecast,Naive_Forecast,ARIMA_Error,Naive_Error
2019,-1114.6071885888168,-502.8217483253021,-502.8217483253021,-611.7854402635147,-611.7854402635147
2020,-919.8192183280783,-502.8217483253021,-502.8217483253021,-416.99747000277614,-416.99747000277614
