Variable,Coefficient,StdErr,t_stat,p_value,Stars,Entity_FE,Time_FE,SectorTime_FE,Clustered_SE,N,R2
"Lobbying spend, t-1 ($M)",-159.5328895296542,176.74494026800593,-0.9026164442826349,0.36672949593687454,,Yes,Yes,Yes (size proxy x year),Yes (cik),2125,0.7088447197594568
Log(Assets),394.71007573721323,218.19824565220756,1.808951646505687,0.07045851571980316,*,Yes,Yes,Yes (size proxy x year),Yes (cik),2125,0.7088447197594568
Log(Revenues),22.34055452098562,47.40986067880953,0.47122168682033333,0.6374824333785207,,Yes,Yes,Yes (size proxy x year),Yes (cik),2125,0.7088447197594568
