Year,Forecast,Lower_95,Upper_95
2021,-919.8192183280781,-2209.2622958649226,369.62385920876625
2022,-919.8192183280781,-2743.3671064887853,903.7286698326292
2023,-919.8192183280781,-3153.2001420898673,1313.5617054337113
2024,-919.8192183280781,-3498.7053734017663,1659.0669367456103
2025,-919.8192183280781,-3803.1015928169936,1963.4631561608376
2026,-919.8192183280781,-4078.296810657352,2238.658374001196
