Metric,Value
ADF p-value (training series),0.2286878859247487
Selected ARIMA order,"(0, 1, 0)"
Selected ARIMA AIC,129.51925278808488
ARIMA RMSE,523.5304742358073
Naive RMSE,523.5304742358073
