event_time,ATT_mean,ATT_median,cohorts,observations,avg_treated,overall_ATT_weighted
0,-357.87792989490407,-357.87792989490407,1,1,7.0,-319.41355302523664
1,-726.3596440564409,-726.3596440564409,1,1,6.0,-319.41355302523664
2,67.86175901403433,67.86175901403433,1,1,7.0,-319.41355302523664
