cohort_g,period_t,event_time,ATT_gt,N_treated,N_control,weight
2018,2018,0,-357.87792989490407,7,230,0.35
2018,2019,1,-726.3596440564409,6,210,0.3
2018,2020,2,67.86175901403433,7,196,0.35
