cik,name,year,Assets,NetIncomeLoss,Revenues,gvkey,lobbying_spend,roa
64472,GENCOR INDUSTRIES INC,2017,128712000.0,1630000.0,69991000.0,,,0.012663931878923488
64472,GENCOR INDUSTRIES INC,2018,153023000.0,8418000.0,,,,0.055011338164851036
64472,GENCOR INDUSTRIES INC,2019,165372000.0,10196000.0,,,,0.06165493553926904
64472,GENCOR INDUSTRIES INC,2020,165372000.0,10196000.0,,,,0.06165493553926904
67625,MONMOUTH REAL ESTATE INVESTMENT CORP,2011,454118797.0,11007515.0,45212822.0,,,0.024239285122566727
67625,MONMOUTH REAL ESTATE INVESTMENT CORP,2012,574507702.0,11007515.0,,,,0.019159908495012656
67625,MONMOUTH REAL ESTATE INVESTMENT CORP,2013,574507702.0,0.0,,,,0.0
67625,MONMOUTH REAL ESTATE INVESTMENT CORP,2014,617240866.0,0.0,,,,0.0
67625,MONMOUTH REAL ESTATE INVESTMENT CORP,2015,915991942.0,0.0,,,,0.0
67625,MONMOUTH REAL ESTATE INVESTMENT CORP,2016,1229758028.0,0.0,,,,0.0
67625,MONMOUTH REAL ESTATE INVESTMENT CORP,2017,1223485885.0,0.0,,,,0.0
67625,MONMOUTH REAL ESTATE INVESTMENT CORP,2018,1443037755.0,0.0,,,,0.0
67625,MONMOUTH REAL ESTATE INVESTMENT CORP,2019,1718378000.0,17630000.0,,,,0.010259675112227926
67625,MONMOUTH REAL ESTATE INVESTMENT CORP,2020,1871948000.0,0.0,,,,0.0
67887,MOOG INC,2010,2712134000.0,108094000.0,1848918000.0,7549.0,,0.03985570034518943
67887,MOOG INC,2010,2712134000.0,108094000.0,1848918000.0,7549.0,,0.03985570034518943
67887,MOOG INC,2011,1110771000.0,30615000.0,113253000.0,7549.0,,0.027561936708826573
67887,MOOG INC,2011,1110771000.0,30615000.0,113253000.0,7549.0,,0.027561936708826573
67887,MOOG INC,2012,384409000.0,136021000.0,619061000.0,7549.0,,0.35384447294418186
67887,MOOG INC,2012,384409000.0,136021000.0,619061000.0,7549.0,,0.35384447294418186
67887,MOOG INC.,2013,1268753000.0,152462000.0,415428000.0,7549.0,,0.12016680945779044
67887,MOOG INC.,2013,1268753000.0,152462000.0,415428000.0,7549.0,,0.12016680945779044
