lob_id,year,lobbying_spend,gvkey
003212e9-b42b-57cc-9330-83ad38b6e56c,2013.0,180000.0,220546.0
003212e9-b42b-57cc-9330-83ad38b6e56c,2014.0,240000.0,220546.0
003212e9-b42b-57cc-9330-83ad38b6e56c,2015.0,240000.0,220546.0
003212e9-b42b-57cc-9330-83ad38b6e56c,2016.0,240000.0,220546.0
003212e9-b42b-57cc-9330-83ad38b6e56c,2017.0,530000.0,220546.0
003212e9-b42b-57cc-9330-83ad38b6e56c,2018.0,680000.0,220546.0
003212e9-b42b-57cc-9330-83ad38b6e56c,2019.0,760000.0,220546.0
003212e9-b42b-57cc-9330-83ad38b6e56c,2020.0,740000.0,220546.0
003212e9-b42b-57cc-9330-83ad38b6e56c,2021.0,740000.0,220546.0
003212e9-b42b-57cc-9330-83ad38b6e56c,2022.0,830000.0,220546.0
003212e9-b42b-57cc-9330-83ad38b6e56c,2023.0,860000.0,220546.0
00358095-60f2-5084-9521-ab3907b38322,2002.0,80000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2003.0,0.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2004.0,180000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2005.0,160000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2006.0,220000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2007.0,100000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2008.0,100000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2009.0,255000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2010.0,240000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2011.0,275000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2012.0,275000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2013.0,200000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2014.0,200000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2015.0,200000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2016.0,350000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2017.0,420000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2018.0,350000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2019.0,200000.0,165652.0
00358095-60f2-5084-9521-ab3907b38322,2020.0,90000.0,165652.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2004.0,40000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2005.0,20000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2006.0,100000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2007.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2008.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2009.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2010.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2011.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2012.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2013.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2014.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2015.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2016.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2017.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2018.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2019.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2020.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2021.0,280000.0,14369.0
0043cba3-4bcb-504d-8851-3605a2fc2b03,2022.0,280000.0,14369.0
